"Model","a","cdwn","h_LD","h_SD","tL_LD","tL_SD","r"
"model0-0",0,0,0,0,0,0,0
"model1-0",1,0,0,0,0,0,0
"model1-1",0,1,0,0,0,0,0
"model1-2",0,0,1,0,0,0,0
"model1-3",0,0,0,1,0,0,0
"model1-4",0,0,0,0,1,0,0
"model1-5",0,0,0,0,0,1,0
"model1-6",0,0,0,0,0,0,1
"model2-0",1,1,0,0,0,0,0
"model2-1",1,0,1,0,0,0,0
"model2-2",1,0,0,1,0,0,0
"model2-3",1,0,0,0,1,0,0
"model2-4",1,0,0,0,0,1,0
"model2-5",1,0,0,0,0,0,1
"model2-6",0,1,1,0,0,0,0
"model2-7",0,1,0,1,0,0,0
"model2-8",0,1,0,0,1,0,0
"model2-9",0,1,0,0,0,1,0
"model2-10",0,1,0,0,0,0,1
"model2-11",0,0,1,1,0,0,0
"model2-12",0,0,1,0,1,0,0
"model2-13",0,0,1,0,0,1,0
"model2-14",0,0,1,0,0,0,1
"model2-15",0,0,0,1,1,0,0
"model2-16",0,0,0,1,0,1,0
"model2-17",0,0,0,1,0,0,1
"model2-18",0,0,0,0,1,1,0
"model2-19",0,0,0,0,1,0,1
"model2-20",0,0,0,0,0,1,1
"model3-0",1,1,1,0,0,0,0
"model3-1",1,1,0,1,0,0,0
"model3-2",1,1,0,0,1,0,0
"model3-3",1,1,0,0,0,1,0
"model3-4",1,1,0,0,0,0,1
"model3-5",1,0,1,1,0,0,0
"model3-6",1,0,1,0,1,0,0
"model3-7",1,0,1,0,0,1,0
"model3-8",1,0,1,0,0,0,1
"model3-9",1,0,0,1,1,0,0
"model3-10",1,0,0,1,0,1,0
"model3-11",1,0,0,1,0,0,1
"model3-12",1,0,0,0,1,1,0
"model3-13",1,0,0,0,1,0,1
"model3-14",1,0,0,0,0,1,1
"model3-15",0,1,1,1,0,0,0
"model3-16",0,1,1,0,1,0,0
"model3-17",0,1,1,0,0,1,0
"model3-18",0,1,1,0,0,0,1
"model3-19",0,1,0,1,1,0,0
"model3-20",0,1,0,1,0,1,0
"model3-21",0,1,0,1,0,0,1
"model3-22",0,1,0,0,1,1,0
"model3-23",0,1,0,0,1,0,1
"model3-24",0,1,0,0,0,1,1
"model3-25",0,0,1,1,1,0,0
"model3-26",0,0,1,1,0,1,0
"model3-27",0,0,1,1,0,0,1
"model3-28",0,0,1,0,1,1,0
"model3-29",0,0,1,0,1,0,1
"model3-30",0,0,1,0,0,1,1
"model3-31",0,0,0,1,1,1,0
"model3-32",0,0,0,1,1,0,1
"model3-33",0,0,0,1,0,1,1
"model3-34",0,0,0,0,1,1,1
"model4-0",1,1,1,1,0,0,0
"model4-1",1,1,1,0,1,0,0
"model4-2",1,1,1,0,0,1,0
"model4-3",1,1,1,0,0,0,1
"model4-4",1,1,0,1,1,0,0
"model4-5",1,1,0,1,0,1,0
"model4-6",1,1,0,1,0,0,1
"model4-7",1,1,0,0,1,1,0
"model4-8",1,1,0,0,1,0,1
"model4-9",1,1,0,0,0,1,1
"model4-10",1,0,1,1,1,0,0
"model4-11",1,0,1,1,0,1,0
"model4-12",1,0,1,1,0,0,1
"model4-13",1,0,1,0,1,1,0
"model4-14",1,0,1,0,1,0,1
"model4-15",1,0,1,0,0,1,1
"model4-16",1,0,0,1,1,1,0
"model4-17",1,0,0,1,1,0,1
"model4-18",1,0,0,1,0,1,1
"model4-19",1,0,0,0,1,1,1
"model4-20",0,1,1,1,1,0,0
"model4-21",0,1,1,1,0,1,0
"model4-22",0,1,1,1,0,0,1
"model4-23",0,1,1,0,1,1,0
"model4-24",0,1,1,0,1,0,1
"model4-25",0,1,1,0,0,1,1
"model4-26",0,1,0,1,1,1,0
"model4-27",0,1,0,1,1,0,1
"model4-28",0,1,0,1,0,1,1
"model4-29",0,1,0,0,1,1,1
"model4-30",0,0,1,1,1,1,0
"model4-31",0,0,1,1,1,0,1
"model4-32",0,0,1,1,0,1,1
"model4-33",0,0,1,0,1,1,1
"model4-34",0,0,0,1,1,1,1
"model5-0",1,1,1,1,1,0,0
"model5-1",1,1,1,1,0,1,0
"model5-2",1,1,1,1,0,0,1
"model5-3",1,1,1,0,1,1,0
"model5-4",1,1,1,0,1,0,1
"model5-5",1,1,1,0,0,1,1
"model5-6",1,1,0,1,1,1,0
"model5-7",1,1,0,1,1,0,1
"model5-8",1,1,0,1,0,1,1
"model5-9",1,1,0,0,1,1,1
"model5-10",1,0,1,1,1,1,0
"model5-11",1,0,1,1,1,0,1
"model5-12",1,0,1,1,0,1,1
"model5-13",1,0,1,0,1,1,1
"model5-14",1,0,0,1,1,1,1
"model5-15",0,1,1,1,1,1,0
"model5-16",0,1,1,1,1,0,1
"model5-17",0,1,1,1,0,1,1
"model5-18",0,1,1,0,1,1,1
"model5-19",0,1,0,1,1,1,1
"model5-20",0,0,1,1,1,1,1
"model6-0",1,1,1,1,1,1,0
"model6-1",1,1,1,1,1,0,1
"model6-2",1,1,1,1,0,1,1
"model6-3",1,1,1,0,1,1,1
"model6-4",1,1,0,1,1,1,1
"model6-5",1,0,1,1,1,1,1
"model6-6",0,1,1,1,1,1,1
"model7-0",1,1,1,1,1,1,1
